,precision,recall,f1-score,support
not_pulsar(class 0),0.9812235009085403,0.995085995085995,0.9881061299176578,4884.0
pulsar(class 1),0.9424460431654677,0.808641975308642,0.8704318936877078,486.0
accuracy,0.9782122905027933,0.9782122905027933,0.9782122905027933,0.9782122905027933
macro avg,0.961834772037004,0.9018639851973185,0.9292690118026827,5370.0
weighted avg,0.9777140326658711,0.9782122905027933,0.9774562828398634,5370.0
