,precision,recall,f1-score,support
not_pulsar(class 0),0.9804317127294735,0.995085995085995,0.9877045015750433,4884.0
pulsar(class 1),0.9418886198547215,0.8004115226337448,0.8654060066740822,486.0
accuracy,0.9774674115456239,0.9774674115456239,0.9774674115456239,0.9774674115456239
macro avg,0.9611601662920974,0.8977487588598699,0.9265552541245627,5370.0
weighted avg,0.9769434551620377,0.9774674115456239,0.9766361461705988,5370.0
